Time,Average pH,Average Temperature Â°C
09:33:38,6,21
09:33:43,8,31
09:33:48,7,33
09:33:54,9,21
09:33:59,7,20
09:53:06,6,23
09:53:11,8,35
09:53:17,6,40
09:53:22,7,35
09:53:27,8,25
09:53:32,8,30
09:53:38,7,22
09:53:43,6,37
09:58:24,7,40
09:58:29,6,22
09:58:34,9,20
09:59:07,9,21
09:59:12,6,22
09:59:17,8,40
09:59:23,8,25
09:59:28,8,26
09:59:33,8,33
10:00:07,7,20
10:00:12,9,36
10:00:17,7,36
10:00:22,8,27
10:00:27,8,39
10:00:33,9,34
10:00:38,6,20
10:00:43,9,28
10:00:48,6,30
10:00:54,6,25
10:00:59,9,36
10:01:04,8,30
10:01:10,8,27
10:01:15,7,32
10:01:21,9,33
10:01:26,6,21
10:01:31,9,23
10:01:36,7,37
10:01:42,7,21
10:01:47,9,21
10:01:53,9,39
10:01:58,7,20
10:02:03,7,30
10:02:09,6,21
10:02:14,8,21
10:02:19,8,36
10:02:25,6,36
10:02:30,6,24
10:02:36,8,22
10:02:41,6,36
10:02:46,7,21
10:02:50,6,34
10:02:55,9,29
10:03:00,6,28
10:03:05,6,36
10:03:11,7,38
10:03:16,9,22
10:03:21,8,24
10:03:26,9,28
10:03:32,8,36
10:03:37,9,35
10:03:42,9,23
10:03:48,9,22
10:03:53,6,34
10:03:58,8,33
10:04:04,9,25
10:04:09,9,23
10:04:14,6,25
10:04:20,7,29
10:04:25,7,23
10:04:30,9,26
10:04:35,6,33
10:04:40,7,27
10:04:46,7,29
10:04:51,8,39
10:04:56,6,38
10:05:02,8,37
10:05:07,9,38
10:05:12,8,35
10:05:18,7,32
10:05:23,9,34
10:05:28,9,21
10:05:34,7,32
10:05:39,8,31
10:05:44,6,24
10:05:50,7,34
10:05:55,8,32
10:06:00,6,25
10:06:06,8,33
10:06:11,8,23
10:06:16,9,35
10:06:22,6,22
10:06:27,6,27
10:06:33,7,36
10:06:38,7,20
10:06:43,7,33
10:06:51,7,35
10:06:56,9,35
10:07:02,6,31
10:07:07,7,21
10:07:12,8,38
10:09:50,8,39
10:09:55,7,30
10:10:01,9,36
10:41:14,7,37
10:41:19,8,20
10:41:24,8,38
10:41:30,8,34
10:41:35,6,39
10:41:40,7,35
10:41:45,8,26
10:41:50,7,20
10:41:55,7,37
10:42:00,7,35
10:42:05,8,25
10:42:10,8,36
10:42:15,9,40
10:42:21,7,23
10:42:26,8,36
10:42:28,9,31
10:42:33,6,36
10:42:38,7,25
10:42:43,7,39
10:42:48,8,37
10:42:53,6,35
10:42:57,7,26
10:43:02,8,28
10:43:08,7,20
10:43:13,7,21
10:43:18,7,40
10:43:23,6,31
10:43:28,8,38
10:43:33,9,26
10:43:38,7,20
10:43:44,7,38
10:43:49,9,23
10:43:54,9,21
10:43:59,7,37
10:44:04,7,21
10:44:09,8,21
10:44:14,8,25
10:44:19,7,34
10:52:31,7,26
10:52:36,8,30
10:52:45,6,20
10:52:50,7,32
10:52:55,6,37
11:03:13,6,31
11:04:32,8,30
11:48:56,6,31
11:49:01,9,31
11:49:07,7,23
11:49:12,9,32
11:49:14,8,35
11:49:19,9,35
11:49:24,8,21
11:49:29,9,39
11:49:34,9,25
11:49:39,8,34
11:49:44,8,28
11:49:49,8,36
11:49:55,8,37
11:50:00,7,30
11:50:05,6,37
11:50:10,7,38
11:50:15,9,35
11:51:56,8,22
11:52:01,8,29
11:52:06,6,40
11:52:11,9,34
11:52:16,9,28
11:52:21,7,30
11:52:27,8,35
11:52:32,6,23
11:52:37,8,36
11:52:40,8,29
11:52:45,6,31
11:52:50,8,30
11:52:56,7,29
11:53:01,7,31
11:53:06,8,21
11:53:11,7,39
11:53:16,9,37
11:53:21,7,22
11:53:26,7,26
11:53:31,9,34
11:53:36,7,40
11:53:41,8,26
11:53:46,7,21
11:53:51,8,27
11:53:56,6,25
11:54:01,8,22
11:54:06,7,34
11:54:12,6,38
11:54:17,9,27
11:54:22,8,23
11:54:27,9,27
11:54:32,9,37
11:54:37,6,24
11:54:42,7,29
11:54:47,9,35
11:54:52,7,36
11:54:57,8,20
11:55:02,8,39
11:55:08,8,21
11:55:13,6,40
11:55:18,7,21
11:55:23,6,31
11:55:28,8,28
11:55:33,8,31
11:55:38,8,38
11:55:43,7,20
11:55:48,9,32
11:55:53,7,34
11:55:58,6,30
11:56:04,9,24
11:56:09,6,21
11:56:13,6,21
11:56:18,7,38
11:56:24,9,28
11:56:29,6,20
11:56:34,6,25
12:07:51,8,30
12:08:30,6,30
12:08:35,9,23
12:08:40,8,22
12:08:45,9,25
12:08:51,9,29
12:08:56,7,34
